Calories,Protein,Fats,Carbohydrates,StringId,EatenTimes
279,22.6,20.9,0,Ветчина,0
157,12.7,11.5,0.7,Яйцо_куриное,0
542,45,37.3,7.1,Яичный_порошок,0
336,73.3,1.8,7,Сухой_белок,0
623,34.2,52.2,4.4,Сухой_желток,0
168,11.9,13.1,0.6,Яйцо_перепелиное,0
145,12.8,8.1,5.2,Бычки,0
147,21,7,0,Горбуша,0
88,16.1,2.6,0,Камбала,0
87,17.7,1.8,0,Карась,0
96,16,3.6,0,Карп,0
138,22,5.6,0,Кета,0
91,15.5,3.2,0,Корюшка,0
75,15.5,1.4,0,Ледяная,0
105,17.1,4.1,0,Лещ,0
219,20.8,15.1,0,Семга,0
60,13.2,0.8,0,Макрурус,0
166,14.7,11.9,0,Минога,0
70,15.9,0.7,0,Минтай,0
157,13.4,11.5,0,Мойва,0
73,16.1,1,0,Навага,0
81,18.8,0.6,0,Налим,0
156,14.8,10.7,0,Нототения_мраморная,0
117,17.6,5.2,0,Окунь_морской,0
82,18.5,0.9,0,Окунь_речной,0
164,16.4,10.9,0,Осетр,0
103,18.9,3,0,Палтус,0
72,16.1,0.9,0,Путассу,0
110,20.3,3.2,0,Рыба-сабля,0
98,19.2,2.4,0,Рыбец_каспийский,0
121,18.4,5.3,0,Сазан,0
262,18.6,20.8,0,Сайра_крупная,0
143,20.4,0.8,0,Сайра_мелкая,0
121,17.3,5.6,0,Салака,0
242,17.7,19.5,0,Сельдь,0
144,19,7.5,0,Сиг,0
153,18,9,0,Скумбрия,0
144,16.8,8.5,0,Сом,0
119,18.5,5,0,Ставрида,0
320,17,6.1,0,Стерлядь,0
83,19,0.8,0,Судак,0
75,17.5,0.6,0,Треска,0
96,22.7,0.7,0,Тунец,0
158,13.2,11.6,0,Угольная_рыба,0
94,19.1,1.9,0,Угорь_морской,0
333,14.5,30.5,0,Угорь,0
86,16.6,2.2,0,Хек,0
82,18.8,0.7,0,Щука,0
117,18.2,0.3,0,Язь,0
134,28.7,1.2,0,Креветка_дальневосточная,0
613,4.2,65.7,0,Печень_трески,0
75,18,0.3,0,Кальмар,0
69,16,0.5,0,Краб,0
